tweet_id,favorite_count,retweet_count
892177421306343426,33819,6514
891689557279858688,42908,8964
891087950875897856,20562,3261
890729181411237888,56848,16716
890240255349198849,32467,7711
889880896479866881,28268,5156
889638837579907072,27672,4735
889278841981685760,25652,5637
888804989199671297,26080,4559
888078434458587136,22201,3653
887517139158093824,46959,12082
887343217045368832,34222,10737
886983233522544640,35859,8084
886680336477933568,22798,4610
886267009285017600,117,4
886054160059072513,0,108
885528943205470208,36689,6683
885311592912609280,0,19297
884925521741709313,68152,16439
884562892145688576,24765,5100
884247878851493888,74423,21298
883838122936631299,22349,3586
883360690899218434,22986,3825
882992080364220416,24445,4122
882627270321602560,28382,6342
882045870035918850,29900,5203
881666595344535552,51522,11099
881536004380872706,50199,16570
880935762899988482,17346,2886
880465832366813184,29075,6546
880095782870896641,28150,4533
879674319642796034,315,10
879415818425184262,107956,45849
879130579576475649,0,7181
879008229531029506,19317,2812
878604707211726852,30931,7582
878316110768087041,0,6965
878057613040115712,42876,7181
877611172832227328,0,83
877316821321428993,27907,5414
876838120628539392,21125,3506
876484053909872640,19163,2511
875747767867523072,25773,4497
875097192612077568,27997,6342
874680097055178752,28439,4875
874296783580663808,26651,4308
874012996292530176,35501,11007
873580283840344065,24837,4143
873213775632977920,7467,1667
872820683541237760,15029,3884
872620804844003328,21309,3911
872261713294495745,35085,6649
871879754684805121,39090,11918
871515927908634625,20730,3628
871102520638267392,21461,5764
870804317367881728,33791,6393
870656317836468226,12819,2817
870308999962521604,22453,4384
869988702071779329,0,25661
869702957897576449,29116,6728
869227993411051520,21112,4023
868639477480148993,0,2240
868552278524837888,10539,2240
867774946302451713,35179,7788
867072653475098625,0,135
866816280283807744,0,32883
866686824827068416,20070,3727
866334964761202691,54720,15546
865718153858494464,26640,6008
865006731092295680,29063,8209
864279568663928832,15195,3266
863907417377173506,21477,4441
863471782782697472,0,2687
863427515083354112,2363,105
863062471531167744,8945,2687
862722525377298433,17779,3809
862096992088072192,66437,21840
861383897657036800,37744,11528
861005113778896900,17538,4119
860924035999428608,0,882
860524505164394496,24678,5698
860184849394610176,17474,6295
859924526012018688,20021,4349
859607811541651456,19476,1704
859074603037188101,35553,14740
858843525470990336,16304,3771
858107933456039936,16524,3154
857746408056729600,36021,11524
857263160327368704,21041,4934
857062103051644929,0,183
856602993587888130,0,11633
856526610513747968,12446,2068
856288084350160898,545,17
855862651834028034,320,27
855857698524602368,12498,2313
855818117272018944,28056,5943
855245323840757760,0,6568
854732716440526848,24188,6690
854365224396361728,20046,5159
854010172552949760,17169,3433
853639147608842240,37198,11265
852936405516943360,0,2243
852672615818899456,15939,2388
852311364735569921,35325,10961
852189679701164033,12217,1741
851861385021730816,0,23
851464819735769094,25944,7855
850753642995093505,33348,10352
850333567704068097,3647,367
850019790995546112,21944,5459
849668094696017920,0,5513
849336543269576704,12240,2101
848690551926992896,27104,4826
848213670039564288,8834,832
847978865427394560,0,3652
847962785489326080,25296,5730
847617282490613760,7558,468
847251039262605312,22036,4800
847116187444137987,23108,3583
846514051647705089,48410,13076
846153765933735936,34394,10226
846042936437604353,17256,3224
845677943972139009,27154,5365
845397057150107648,8241,2072
845098359547420673,0,8640
844973813909606400,16361,3617
844580511645339650,17871,3533
843981021012017153,16327,3285
843604394117681152,18310,3081
842892208864923648,0,56625
842765311967449089,7321,1439
842163532590374912,26569,6568
841833993020538882,0,17504
841439858740625411,13755,4168
841314665196081154,17305,5312
840761248237133825,0,1972
840698636975636481,197,3
840632337062862849,9761,1972
840268004936019968,20950,6497
839549326359670784,29957,8805
839239871831150596,29684,7422
838921590096166913,12183,2357
838831947270979586,0,12643
838476387338051585,24664,5484
838150277551247360,1824,370
838083903487373313,19183,3582
837482249356513284,4204,495
837366284874571778,23074,6005
837012587749474308,0,88
836753516572119041,21029,5237
836648853927522308,0,626
836380477523124226,16037,3337
836001077879255040,20924,4935
835574547218894849,19447,4121
835309094223372289,0,24013
835264098648616962,8503,1939
